Frec,Volt
10,0.245
100,1.035
200,0.4455
300,0.4356
400,0.316
500,0.172
600,0.0001
700,-0.2517
800,-0.524
900,-0.914
1000,-1.33
1200,-2.63
1400,-4.43
1600,-7.07
1800,-10.88
2000,-16.07
2500,-21.78
3000,-21.68
