Frec,Volt
1000,-0.91
1200,-1.63
2000,-4.95
3000,-11.54
3500,-14.37
4000,-22.54
4500,-36.39
5000,-36.22
5500,-30
6000,-17.17
7000,-15.98
8000,-13.52
9000,-8.45
10000,-6.72
