Frec,Volt
1023.53102189902,-0.0295864587894006
1072.26722201032,-0.0919481894702684
1123.32403297803,-0.176141675224934
1176.811952435,-0.253797624594011
1232.84673944206,-0.375192674853901
1291.54966501488,-0.494221618031075
1353.0477745798,-0.597213088541142
1417.4741629268,-0.689504807407724
1484.96826225446,-0.813332976712702
1555.67614393047,-0.956769454503263
1629.75083462064,-1.08777378657547
1707.35264747069,-1.1979459161025
1788.64952905743,-1.37378870871105
1873.81742286038,-1.50323053792814
1963.04065004027,-1.72070805975237
2056.51230834865,-1.8916971399617
2154.43469003188,-2.06579315434173
2257.01971963392,-2.2376186134534
2364.4894126454,-2.50792766467019
2477.07635599171,-2.67257252004015
2595.02421139973,-2.90948608638495
2718.58824273294,-3.16890668541824
2848.0358684358,-3.39919949347083
2983.64724028333,-3.66678864986422
3125.71584968823,-3.91675734410257
3274.54916287772,-4.19021713986233
3430.46928631491,-4.46362858373863
3593.81366380462,-4.77283807039331
3764.93580679246,-5.08488778177117
3944.20605943765,-5.36276605221758
4132.01240011533,-5.72380166524625
4328.76128108305,-6.04062837361754
4534.87850812857,-6.39255278533924
4750.81016210279,-6.7568995916085
4977.0235643321,-7.09389382129292
5214.00828799967,-7.45320042853056
5462.27721768433,-7.84422350568351
5722.3676593502,-8.22475488099575
5994.8425031894,-8.57643032970495
6280.29144183424,-9.01475490297949
6579.33224657566,-9.41760429235197
6892.61210434968,-9.85307973649452
7220.80901838545,-10.3335850677128
7564.63327554627,-10.8218680119672
7924.82898353915,-11.1946863038311
8302.17568131972,-11.698226652847
8697.49002617781,-12.1827815861521
9111.62756115487,-12.77062405357
9545.48456661832,-13.2272903785845
9999.99999999997,-13.6349596185505
